Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-09-25,99.461,99.987,99.304,99.637,2025000,0.0,0.0
2017-09-26,99.664,99.923,98.917,99.618,2833200,0.0,0.0
2017-09-27,99.747,100.356,99.129,100.135,1231000,0.0,0.0
2017-09-28,99.932,100.153,97.81,98.133,2542200,0.0,0.0
2017-09-29,98.511,99.803,98.086,99.507,2531100,0.0,0.0
2017-10-02,99.895,100.43,99.461,99.84,1151800,0.0,0.0
2017-10-03,99.904,100.476,99.904,100.07,1316900,0.0,0.0
2017-10-04,100.624,102.193,100.292,101.445,1864600,0.0,0.0
2017-10-05,101.408,102.008,101.325,101.519,1082000,0.0,0.0
2017-10-06,101.242,101.685,100.891,101.261,1212000,0.0,0.0
2017-10-09,101.261,101.556,100.91,101.159,1228200,0.0,0.0
2017-10-10,101.482,101.74,100.716,101.122,852100,0.0,0.0
2017-10-11,101.353,101.657,101.067,101.251,1030600,0.0,0.0
2017-10-12,101.113,101.381,100.753,101.03,1799900,0.0,0.0
2017-10-13,101.371,103.115,101.085,102.423,1676300,0.0,0.0
2017-10-16,103.115,103.152,101.833,102.682,1243400,0.0,0.0
2017-10-17,102.432,102.682,101.537,101.971,1238900,0.0,0.0
2017-10-18,102.137,102.266,100.762,101.482,1447700,0.0,0.0
2017-10-19,101.002,101.288,100.495,101.224,1822300,0.0,0.0
2017-10-20,101.011,101.279,99.886,100.393,1927100,0.0,0.0
2017-10-23,100.559,101.298,100.19,100.642,1260200,0.0,0.0
2017-10-24,100.402,101.75,100.338,101.722,1351000,0.0,0.0
2017-10-25,101.768,102.617,101.51,102.534,1948600,0.0,0.0
2017-10-26,102.571,103.798,102.571,103.152,1639500,0.0,0.0
2017-10-27,102.728,103.263,101.925,103.226,1644100,0.0,0.0
2017-10-30,102.986,103.189,101.27,102.285,1838300,0.0,0.0
2017-10-31,102.562,103.595,101.98,103.171,2255900,0.0,0.0
2017-11-01,110.866,115.157,108.089,112.684,7620700,0.0,0.0
2017-11-02,112.269,113.035,109.639,110.866,4197600,0.0,0.0
2017-11-03,111.125,112.573,110.552,112.306,2219300,0.0,0.0
2017-11-06,112.038,112.343,111.161,111.761,1331300,0.0,0.0
2017-11-07,111.309,112.841,111.152,112.776,1299200,0.0,0.0
2017-11-08,113.035,114.419,113.035,113.57,2227900,0.0,0.0
2017-11-09,113.192,114.603,112.573,114.216,1855300,0.0,0.0
2017-11-10,114.253,115.609,114.17,114.982,1859200,0.0,0.0
2017-11-13,115.166,117.178,114.945,116.559,2035000,0.0,0.0
2017-11-14,116.034,116.55,115.581,116.283,1431800,0.0,0.0
2017-11-15,115.692,116.375,114.917,114.982,1392200,0.0,0.0
2017-11-16,115.489,116.679,115.166,115.932,1444800,0.0,0.0
2017-11-17,115.784,116.412,115.055,115.055,2215300,0.0,0.0
2017-11-20,115.471,116.707,115.24,115.508,1674000,0.0,0.0
2017-11-21,115.157,116.661,115.111,115.803,1889400,0.0,0.0
2017-11-22,116.153,116.919,115.406,116.117,1561000,0.0,0.0
2017-11-24,116.264,116.818,116.264,116.44,870700,0.0,0.0
2017-11-27,116.356,116.689,115.037,115.48,1593000,0.0,0.0
2017-11-28,116.015,116.107,115.415,115.628,2022900,0.0,0.0
2017-11-29,115.257,115.683,114.165,114.702,2575000,0.38,0.0
2017-11-30,114.646,115.72,114.156,115.535,2857500,0.0,0.0
2017-12-01,115.442,115.942,114.23,115.479,1703300,0.0,0.0
2017-12-04,116.016,116.248,114.758,116.007,1541900,0.0,0.0
2017-12-05,114.693,115.665,114.304,115.23,2491700,0.0,0.0
2017-12-06,115.026,115.387,113.85,115.202,1902800,0.0,0.0
2017-12-07,115.257,116.007,114.998,115.859,1635700,0.0,0.0
2017-12-08,115.84,116.525,115.294,116.275,1788500,0.0,0.0
2017-12-11,115.979,116.479,115.646,116.127,1322300,0.0,0.0
2017-12-12,115.785,115.989,115.433,115.646,1609200,0.0,0.0
2017-12-13,115.646,118.997,115.6,118.423,2379600,0.0,0.0
2017-12-14,118.154,118.673,117.858,118.293,1588900,0.0,0.0
2017-12-15,119.015,120.126,118.876,119.968,2777800,0.0,0.0
2017-12-18,120.2,120.653,119.478,119.755,1693900,0.0,0.0
2017-12-19,119.617,120.153,117.923,118.321,1980300,0.0,0.0
2017-12-20,118.506,118.756,117.793,118.182,1143000,0.0,0.0
2017-12-21,118.608,119.265,118.006,118.08,827800,0.0,0.0
2017-12-22,118.552,118.58,117.766,118.238,747000,0.0,0.0
2017-12-26,118.265,119.404,118.071,119.256,491500,0.0,0.0
2017-12-27,119.061,119.32,118.127,118.238,613800,0.0,0.0
2017-12-28,118.117,118.663,117.895,118.367,794100,0.0,0.0
2017-12-29,118.284,118.589,117.728,117.766,805100,0.0,0.0
2018-01-02,118.136,118.534,117.358,118.089,1288900,0.0,0.0
2018-01-03,118.052,120.061,117.719,119.968,2121200,0.0,0.0
2018-01-04,120.32,121.792,120.274,120.533,1904300,0.0,0.0
2018-01-05,120.524,120.903,120.052,120.311,1572000,0.0,0.0
2018-01-08,120.116,121.477,119.941,121.218,967900,0.0,0.0
2018-01-09,121.523,122.625,121.246,121.893,1249300,0.0,0.0
2018-01-10,121.523,121.523,118.719,120.616,1599100,0.0,0.0
2018-01-11,120.866,121.125,119.163,119.478,1250200,0.0,0.0
2018-01-12,119.543,119.848,118.858,118.959,1466000,0.0,0.0
2018-01-16,119.58,120.681,118.895,119.08,1618900,0.0,0.0
2018-01-17,119.654,122.717,119.404,122.227,1613400,0.0,0.0
2018-01-18,122.365,122.588,121.042,121.227,1147100,0.0,0.0
2018-01-19,121.782,124.448,121.542,124.439,1380100,0.0,0.0
2018-01-22,123.782,125.586,123.643,124.827,1388000,0.0,0.0
2018-01-23,124.726,126.947,124.726,126.54,1317900,0.0,0.0
2018-01-24,126.632,127.354,125.059,126.105,1623200,0.0,0.0
2018-01-25,126.762,127.419,126.114,126.956,1115400,0.0,0.0
2018-01-26,126.678,127.585,125.725,127.456,1587900,0.0,0.0
2018-01-29,127.502,127.909,125.994,126.429,1374600,0.0,0.0
2018-01-30,125.873,126.984,125.161,126.456,1318300,0.0,0.0
2018-01-31,126.762,127.511,124.115,124.911,2024900,0.0,0.0
